GameID,IDTitle,IDRegion,IDCategory,Game,MatchType,MatchScore,Resolution,Backend,Playability,InternalResolution,GraphicsBackend,SkipBufferEffects,AnisotropyLevel,TextureBackoffCache,SplineBezierQuality,SkipGPUReadbacks,CPUSpeed,FrameSkip,AutoFrameSkip,TexScalingType,TexScalingLevel,NotesParsed,NotesOriginal
UCAS40295,Kingdom Hearts: Birth by Sleep,"Japan, Asia",Games,Kingdom Hearts: Birth By Sleep,exact,2.000,2x,OpenGL,Playable with frameskip of 1 (close to full speed),2,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,
UCAS40323,God of War: Ghost of Sparta,Asia,Games,God of War: Ghost of Sparta,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,Playability=Frameskip1,Runs at 30fps
UCED00017,WipEout Pure,Europe,Preproduction,WipEout Pure,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,FrameSkip=1;Playability=Frameskip1,Frameskip = 1
UCED00365,LocoRoco,Europe,Demos,LocoRoco,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCED00448,Tekken: Dark Resurrection,Europe,Demos,Tekken: Dark Resurrection,exact,2.000,1x,OpenGL,Runs at close to or full speed without frameskip,1,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCED00970,God of War: Chains of Olympus,Europe,Demos,God of War: Chains of Olympus,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,333,1,False,,,CPUSpeed=333;Playability=Frameskip1,333MHz CPU clock. Set number of frames to off and auto frameskip on for a stable 30fps (with cheat active). Using magic may cause drops below 30fps
UCES00001,WipEout Pure,Europe,Games,WipEout Pure,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,FrameSkip=1;Playability=Frameskip1,Frameskip = 1
UCES00002,Ridge Racer,"Europe, Australia",Games,Ridge Racer,exact,2.000,SBE,OpenGL,Runs at close to or full speed without frameskip,,0,True,2,True,0,,111,0,False,0,2,"AnisotropyLevel=2;TexScalingType=0,TexScalingLevel=2;SkipBufferEffects=True;Playability=NoFrameskip","Skip buffer effects, 2x xBRZ texture upscaling + 2x AF. Slightly grey overlay when using nitrous"
UCES00006,MediEvil: Resurrection,Europe,Games,Medievil Resurrection,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCES00010,Ape Academy,Europe,Games,Ape Escape Academy,superset,0.833,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCES00018,Twisted Metal: Head-On,Europe,Games,Twisted metal: Head On,exact,2.000,2x,OpenGL,Playable with frameskip of 1 (close to full speed),2,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,
UCES00044,Daxter,Europe,Games,Daxter,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,2,True,0,,111,0,False,,,AnisotropyLevel=2;Playability=NoFrameskip,2x AF
UCES00045,Ape Escape,Europe,Games,Ape Escape Academy,superset,0.833,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCES00109,Lemmings,Europe,Games,Lemmings,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCES00279,Killzone: Liberation,Europe,Games,Killzone: Liberation,exact,2.000,1x,OpenGL,Playable with frameskip of 1 (close to full speed),1,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,Runs fine @ 30FPS with Frameskip set to 1. You can push 2x Resolution as well but you'll see frame drops. (No cheats used)
UCES00304,LocoRoco,"Europe, Australia",Games,LocoRoco,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCES00356,Tekken: Dark Resurrection,"Europe, Australia",Games,Tekken: Dark Resurrection,exact,2.000,1x,OpenGL,Runs at close to or full speed without frameskip,1,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCES00420,Ratchet & Clank: Size Matters,"Europe, Australia",Games,Ratchet & Clank: Size Matters,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,Skip GPU readbacks. Drops to 25fps at times with several enemies on screen
UCES00423,Ace Combat X: Skies of Deception,Europe,Games,Ace Combat X: Skies of Deception,exact,2.000,2x,Vulkan,Runs at close to or full speed without frameskip,2,3,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCES00465,WipEout Pulse,"Europe, Australia",Games,WipEout Pulse,exact,2.000,1x,OpenGL,Playable with frameskip of 1 (close to full speed),1,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,Vulkan has graphical glitches that aren't worth any performance gains
UCES00786,ATV Offroad Fury Pro,Europe,Games,ATV Offroad Fury Pro,exact,2.000,1x,OpenGL,Runs at close to or full speed without frameskip,1,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Player model is completely black in-game
UCES00842,God of War: Chains of Olympus,"Europe, Australia",Games,God of War: Chains of Olympus,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,333,1,False,,,CPUSpeed=333;Playability=Frameskip1,333MHz CPU clock. Set number of frames to off and auto frameskip on for a stable 30fps (with cheat active). Using magic may cause drops below 30fps
UCES00995,Patapon,Europe,Games,Patapon,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Runs natively @30 FPS. Set 'Buffer Graphics Commands' to 'No Buffer' for lower latency as this is rhythm game. You can also push to 3x resolution with a 1-2 lightweight PSP Shaders.
UCES01225,Jak and Daxter: The Lost Frontier,Europe,Games,Jak and Daxter: The Lost Frontier,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,"Skip GPU readbacks, force real clock sync, disable hardware tesselation and render duplicate frames to 60Hz. Mostly stable 30fps"
UCES01242,SOCOM: U.S. Navy SEALs: Fireteam Bravo 3,Europe,Games,SOCOM US Navy Seals: Fireteam Bravo 3,partial,0.804,2x,OpenGL,Game crashes or is unplayable with frameskip (i.e. less than 70% speed with frameskip of 1),2,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,Graphical glitches with both renderers
UCES01245,Gran Turismo,Europe,Games,Gran Turismo,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,,222,1,False,,,CPUSpeed=222;Playability=Frameskip1,"222MHz CPU clock for 30fps, can slow down in menus"
UCES01264,LittleBigPlanet,Europe,Games,LittleBigPlanet,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCES01378,Jak and Daxter: The Lost Frontier,Europe,Games,Jak and Daxter: The Lost Frontier,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,"Skip GPU readbacks, force real clock sync, disable hardware tesselation and render duplicate frames to 60Hz. Mostly stable 30fps"
UCES01401,God of War: Ghost of Sparta,"Europe, Australia",Games,God of War: Ghost of Sparta,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,Playability=Frameskip1,Runs at 30fps
UCES01473,God of War: Ghost of Sparta,Europe,Games,God of War: Ghost of Sparta,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,Playability=Frameskip1,Runs at 30fps
UCET00001,WipEout Pure,Europe,Preproduction,WipEout Pure,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,FrameSkip=1;Playability=Frameskip1,Frameskip = 1
UCET00179,Lemmings,Europe,Preproduction,Lemmings,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCET00357,LocoRoco,Europe,Preproduction,LocoRoco,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCET00424,Tekken: Dark Resurrection,Europe,Preproduction,Tekken: Dark Resurrection,exact,2.000,1x,OpenGL,Runs at close to or full speed without frameskip,1,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCET00713,WipEout Pulse,Europe,Preproduction,WipEout Pulse,exact,2.000,1x,OpenGL,Playable with frameskip of 1 (close to full speed),1,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,Vulkan has graphical glitches that aren't worth any performance gains
UCET00751,Ratchet & Clank: Size Matters,Europe,Preproduction,Ratchet & Clank: Size Matters,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,Skip GPU readbacks. Drops to 25fps at times with several enemies on screen
UCET00844,God of War: Chains of Olympus,Europe,Preproduction,God of War: Chains of Olympus,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,333,1,False,,,CPUSpeed=333;Playability=Frameskip1,333MHz CPU clock. Set number of frames to off and auto frameskip on for a stable 30fps (with cheat active). Using magic may cause drops below 30fps
UCET01015,Patapon,Europe,Demos,Patapon,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Runs natively @30 FPS. Set 'Buffer Graphics Commands' to 'No Buffer' for lower latency as this is rhythm game. You can also push to 3x resolution with a 1-2 lightweight PSP Shaders.
UCJB98011,LocoRoco,Japan,Games,LocoRoco,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCJP00062,Jeanne d'Arc,Japan,Preproduction,Jeanne D'Arc,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCJP00125,Patapon,Japan,Preproduction,Patapon,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Runs natively @30 FPS. Set 'Buffer Graphics Commands' to 'No Buffer' for lower latency as this is rhythm game. You can also push to 3x resolution with a 1-2 lightweight PSP Shaders.
UCJS10007,WipEout Pure,Japan,Games,WipEout Pure,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,FrameSkip=1;Playability=Frameskip1,Frameskip = 1
UCJS10041,LocoRoco,Japan,Games,LocoRoco,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCJS10048,Jeanne d'Arc,Japan,Games,Jeanne D'Arc,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCJS10077,Patapon,Japan,Games,Patapon,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Runs natively @30 FPS. Set 'Buffer Graphics Commands' to 'No Buffer' for lower latency as this is rhythm game. You can also push to 3x resolution with a 1-2 lightweight PSP Shaders.
UCJS10088,Enkaku Sousa: Shinjitsu e no 23-nichi-kan,Japan,Games,Enkaku sousa: Shinjitsu e no 23-nichikan,partial,0.804,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,2,True,0,,111,0,False,,,AnisotropyLevel=2;Playability=NoFrameskip,2x AF
UCJS10100,Gran Turismo,Japan,Games,Gran Turismo,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,,222,1,False,,,CPUSpeed=222;Playability=Frameskip1,"222MHz CPU clock for 30fps, can slow down in menus"
UCJS18011,LocoRoco,Japan,Games,LocoRoco,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCJS18027,Patapon,Japan,Games,Patapon,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Runs natively @30 FPS. Set 'Buffer Graphics Commands' to 'No Buffer' for lower latency as this is rhythm game. You can also push to 3x resolution with a 1-2 lightweight PSP Shaders.
UCJX90019,Jeanne d'Arc,Japan,Demos,Jeanne D'Arc,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCKS45002,Ridge Racer,Korea,Games,Ridge Racer,exact,2.000,SBE,OpenGL,Runs at close to or full speed without frameskip,,0,True,2,True,0,,111,0,False,0,2,"AnisotropyLevel=2;TexScalingType=0,TexScalingLevel=2;SkipBufferEffects=True;Playability=NoFrameskip","Skip buffer effects, 2x xBRZ texture upscaling + 2x AF. Slightly grey overlay when using nitrous"
UCKS45008,WipEout Pure,Korea,Games,WipEout Pure,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,FrameSkip=1;Playability=Frameskip1,Frameskip = 1
UCKS45027,Tekken: Dark Resurrection,Korea,Games,Tekken: Dark Resurrection,exact,2.000,1x,OpenGL,Runs at close to or full speed without frameskip,1,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCKS45038,Ace Combat X: Skies of Deception,Korea,Games,Ace Combat X: Skies of Deception,exact,2.000,2x,Vulkan,Runs at close to or full speed without frameskip,2,3,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCKS45045,Monster Hunter Portable 2nd,"Japan, Korea",Games,Monster Hunter Portable 2nd G,superset,0.900,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCKS45067,Ace Combat X: Skies of Deception,Korea,Games,Ace Combat X: Skies of Deception,exact,2.000,2x,Vulkan,Runs at close to or full speed without frameskip,2,3,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCKS45069,Tekken: Dark Resurrection,Korea,Games,Tekken: Dark Resurrection,exact,2.000,1x,OpenGL,Runs at close to or full speed without frameskip,1,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCKS45076,Patapon,Korea,Games,Patapon,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Runs natively @30 FPS. Set 'Buffer Graphics Commands' to 'No Buffer' for lower latency as this is rhythm game. You can also push to 3x resolution with a 1-2 lightweight PSP Shaders.
UCKS45078,WipEout Pulse,Asia,Games,WipEout Pulse,exact,2.000,1x,OpenGL,Playable with frameskip of 1 (close to full speed),1,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,Vulkan has graphical glitches that aren't worth any performance gains
UCKS45084,God of War: Chains of Olympus,Korea,Games,God of War: Chains of Olympus,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,333,1,False,,,CPUSpeed=333;Playability=Frameskip1,333MHz CPU clock. Set number of frames to off and auto frameskip on for a stable 30fps (with cheat active). Using magic may cause drops below 30fps
UCKS45099,Patapon,Korea,Games,Patapon,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Runs natively @30 FPS. Set 'Buffer Graphics Commands' to 'No Buffer' for lower latency as this is rhythm game. You can also push to 3x resolution with a 1-2 lightweight PSP Shaders.
UCKS45128,SOCOM: U.S. Navy SEALs: Fireteam Bravo 3,Korea,Games,SOCOM US Navy Seals: Fireteam Bravo 3,partial,0.804,2x,OpenGL,Game crashes or is unplayable with frameskip (i.e. less than 70% speed with frameskip of 1),2,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,Graphical glitches with both renderers
UCKS45131,Jak and Daxter: The Lost Frontier,Korea,Games,Jak and Daxter: The Lost Frontier,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,"Skip GPU readbacks, force real clock sync, disable hardware tesselation and render duplicate frames to 60Hz. Mostly stable 30fps"
UCKS45155,God of War: Chains of Olympus,Korea,Games,God of War: Chains of Olympus,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,333,1,False,,,CPUSpeed=333;Playability=Frameskip1,333MHz CPU clock. Set number of frames to off and auto frameskip on for a stable 30fps (with cheat active). Using magic may cause drops below 30fps
UCKS45161,God of War: Ghost of Sparta,Asia,Games,God of War: Ghost of Sparta,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,Playability=Frameskip1,Runs at 30fps
UCUS90691,Gran Turismo,USA,Games,Gran Turismo,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,,222,1,False,,,CPUSpeed=222;Playability=Frameskip1,"222MHz CPU clock for 30fps, can slow down in menus"
UCUS98173,Kingdom Hearts: Birth by Sleep,USA,Games,Kingdom Hearts: Birth By Sleep,exact,2.000,2x,OpenGL,Playable with frameskip of 1 (close to full speed),2,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,
UCUS98601,Twisted Metal: Head-On,USA,Games,Twisted metal: Head On,exact,2.000,2x,OpenGL,Playable with frameskip of 1 (close to full speed),2,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,
UCUS98609,Ape Escape: On the Loose,USA,Games,Ape Escape: On the Loose,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,4,True,0,,111,0,False,0,2,"AnisotropyLevel=4;TexScalingType=0,TexScalingLevel=2;Playability=NoFrameskip",2x xBRZ texture upscaling + 4x AF
UCUS98612,WipEout Pure,USA,Games,WipEout Pure,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,111,1,False,,,FrameSkip=1;Playability=Frameskip1,Frameskip = 1
UCUS98618,Daxter,USA,Games,Daxter,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,2,True,0,,111,0,False,,,AnisotropyLevel=2;Playability=NoFrameskip,2x AF
UCUS98619,Ape Escape Academy,USA,Games,Ape Escape Academy,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCUS98620,MediEvil: Resurrection,USA,Games,Medievil Resurrection,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCUS98623,Kingdom of Paradise,USA,Games,Kingdom of Paradise,exact,2.000,2x,OpenGL,Playable with frameskip of 1 (close to full speed),2,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,100% full speed with autoframeskip On
UCUS98629,Ape Escape Academy,USA,Demos,Ape Escape Academy,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCUS98632,Gran Turismo,USA,Games,Gran Turismo,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,,222,1,False,,,CPUSpeed=222;Playability=Frameskip1,"222MHz CPU clock for 30fps, can slow down in menus"
UCUS98633,Ratchet & Clank: Size Matters,USA,Games,Ratchet & Clank: Size Matters,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,Skip GPU readbacks. Drops to 25fps at times with several enemies on screen
UCUS98634,Jak and Daxter: The Lost Frontier,USA,Games,Jak and Daxter: The Lost Frontier,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,"Skip GPU readbacks, force real clock sync, disable hardware tesselation and render duplicate frames to 60Hz. Mostly stable 30fps"
UCUS98646,Killzone: Liberation,USA,Games,Killzone: Liberation,exact,2.000,1x,OpenGL,Playable with frameskip of 1 (close to full speed),1,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,Runs fine @ 30FPS with Frameskip set to 1. You can push 2x Resolution as well but you'll see frame drops. (No cheats used)
UCUS98647,Lemmings,USA,Games,Lemmings,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCUS98648,ATV Offroad Fury Pro,USA,Games,ATV Offroad Fury Pro,exact,2.000,1x,OpenGL,Runs at close to or full speed without frameskip,1,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Player model is completely black in-game
UCUS98653,God of War: Chains of Olympus,USA,Games,God of War: Chains of Olympus,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,333,1,False,,,CPUSpeed=333;Playability=Frameskip1,333MHz CPU clock. Set number of frames to off and auto frameskip on for a stable 30fps (with cheat active). Using magic may cause drops below 30fps
UCUS98654,Daxter,USA,Demos,Daxter,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,2,True,0,,111,0,False,,,AnisotropyLevel=2;Playability=NoFrameskip,2x AF
UCUS98662,LocoRoco,USA,Preproduction,LocoRoco,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCUS98670,Killzone: Liberation,USA,Demos,Killzone: Liberation,exact,2.000,1x,OpenGL,Playable with frameskip of 1 (close to full speed),1,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,Runs fine @ 30FPS with Frameskip set to 1. You can push 2x Resolution as well but you'll see frame drops. (No cheats used)
UCUS98671,Lemmings,USA,Demos,Lemmings,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCUS98681,ATV Offroad Fury Pro,USA,Demos,ATV Offroad Fury Pro,exact,2.000,1x,OpenGL,Runs at close to or full speed without frameskip,1,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,Player model is completely black in-game
UCUS98684,Ratchet & Clank: Size Matters,USA,Demos,Ratchet & Clank: Size Matters,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,Skip GPU readbacks. Drops to 25fps at times with several enemies on screen
UCUS98685,LocoRoco,USA,Demos,LocoRoco,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCUS98695,Ratchet & Clank: Size Matters,USA,Preproduction,Ratchet & Clank: Size Matters,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,Skip GPU readbacks. Drops to 25fps at times with several enemies on screen
UCUS98700,Jeanne d'Arc,USA,Games,Jeanne D'Arc,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCUS98705,God of War: Chains of Olympus: Special Edition: Battle of Attica,USA,Demos,God of War: Chains of Olympus,variant,0.750,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,333,1,False,,,CPUSpeed=333;Playability=Frameskip1,333MHz CPU clock. Set number of frames to off and auto frameskip on for a stable 30fps (with cheat active). Using magic may cause drops below 30fps
