minivmac_libretro.so;Mini vMac;
mpv_libretro.so;
mrboom_libretro.so;Mr.Boom;
mu_libretro.so;Mu;
mupen64plus_libretro.so;Mupen64Plus GLES2;
mupen64plus_next_libretro.so;
nekop2_libretro.so;Neko Project II;
neocd_libretro.so;NeoCD;
nestopiaCV_libretro.so;
nestopia_libretro.so;Nestopia;
np2kai_libretro.so;Neko Project II kai;
numero_libretro.so;Numero;
nxengine_libretro.so;NXEngine;
o2em_libretro.so;O2EM;
onscripter_libretro.so;onscripter;
opera_libretro.so;Opera;
parallel_n64_libretro.so;ParaLLEl N64;
pcsx_rearmed_libretro.so;PCSX-ReARMed;
pcsx_rearmed_libretro_old.so;PCSX-ReARMed;
pcsx_rearmed_libretro_shaun.so;PCSX-ReARMed;
pcsx_rearmed_rumble_libretro.so;PCSX-ReARMed;
picodrive_libretro.so;PicoDrive;
pokemini_libretro.so;PokeMini;
potator_libretro.so;Potator;
ppsspp_libretro.so;PPSSPP;
prboom_libretro.so;PrBoom;
prosystem_libretro.so;ProSystem;
puae2021_libretro.so;PUAE 2021;
puae_libretro.so;PUAE;
px68k_libretro.so;PX68K;
quasi88_libretro.so;QUASI88;
quicknes_libretro.so;QuickNES;
race_libretro.so;RACE;
reminiscence_libretro.so;REminiscence;
retro8_libretro.so;retro-8 (alpha);
same_cdi_libretro.so;
sameboy_libretro.so;SameBoy;
sameduck_libretro.so;;
scummvm_libretro.so;scummvm;
scummvm_libretro1.so;scummvm;
snes9x2002_libretro.so;Snes9x 2002;
snes9x2005_libretro.so;Snes9x 2005;
snes9x2005_plus_libretro.so;Snes9x 2005 Plus;
snes9x2010_libretro.so;Snes9x 2010;
snes9x_libretro.so;Snes9x;
snes9x_next_libretro.so;
squirreljme_libretro.so;
stella2014_libretro.so;Stella 2014;
stella_libretro.so;Stella;
superflappybirds_libretro.so;Super Flappy Birds;
swanstation_libretro.so;SwanStation;
tgbdual_libretro.so;TGB Dual;
theodore_libretro.so;theodore;
tic80_libretro.so;TIC-80;
tyrquake_libretro.so;TyrQuake;
uae4arm_libretro.so;uae4arm;
uzem_libretro.so;Uzem;
vba_next_libretro.so;VBA Next;
vbam_libretro.so;VBA-M;
vecx_libretro.so;VecX;
vemulator_libretro.so;VeMUlator;
vice_x128_libretro.so;VICE x128;
vice_x64_libretro.so;VICE x64;
vice_x64dtv_libretro.so;
vice_x64sc_libretro.so;VICE x64sc;
vice_xcbm2_libretro.so;VICE xcbm2;
vice_xcbm5x0_libretro.so;VICE xcbm5x0;
vice_xpet_libretro.so;VICE xpet;
vice_xplus4_libretro.so;VICE xplus4;
vice_xscpu64_libretro.so;VICE xscpu64;
vice_xvic_libretro.so;VICE xvic;
virtualjaguar_libretro.so;Virtual Jaguar;
wasm4_libretro.so;WASM-4;
x1_libretro.so;x1;
xrick_libretro.so;xrick;
yabasanshiro_libretro.so;YabaSanshiro;
yabause_libretro.so;Yabause;
zc210_libretro.so;Zelda Classic v2.10;
